Country Name,Country Code,Series Name,Series Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,63.3377882916,61.9064798592,60.4751714268,59.0438629945,57.6125545621,56.1812461297,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,..,..
Afghanistan,AFG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,11.0933263091436,11.1052211474061,12.0077331734354,12.9099215252666,13.8186837545214,14.733852939883,15.6484265825764,16.5625231156134,17.4760103900168,18.3888843398134,19.301139222627,20.2128842346224,21.1239963442836,22.0344697184414,22.9443007139289,23.8535895499243,24.7622201760444,25.6714172375918,26.5813145377719,27.4917341128464,28.4025051496417,29.3138430014086,30.0340981310563
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,7228795956.44078,7867263297.8222,7978515682.69705,8874480241.02355,9349921933.98889,10642672018.0685,11060395172.9653,13426272142.8283,15354612620.8467,15420077746.4016,17386490329.926,18360263258.3072,18860496592.515,19134221744.5294,19566715275.9301,20084646855.8018,20323499125.6969,21118473812.444,20621957232.4181,16345202647.5247,..
Albania,ALB,Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,..,..,..,..,..,..,..,..,..,..,8000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,7.1127403846,7.0633413462,7.0139423077,6.9645432692,7.7805288462,8.5965144231,9.4125,10.2284855769,11.0444711538,10.5195913462,9.9947115385,9.4698317308,8.9449519231,8.4200721154,7.6467548077,7.4984375,7.3501201923,7.2018028846,7.0534855769,6.9051682692,6.7568509615,6.6085336538,6.4602163462,5.5288461538,6.5625,6.5564903846,5.7572115385,6.796875,4.7235576923,..,..
Albania,ALB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,49.1383205634209,49.0811977467469,48.984765568043,48.8854457544253,50.7176777876065,52.5783324245073,54.4670824974091,56.3838433244244,58.3284789243762,60.3009052009062,62.3006301902166,64.3274026075619,66.3808520347694,68.459832807363,70.5632610188294,70.5919698860001,70.6165078550165,70.6369415898919,70.65335162337,70.6658550054076,70.6745374149515,70.7057950614818,70.7360679461577
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3527709061.94659,3864937294.2247,4185837881.82175,4743489156.74337,5175146643.27572,4610021453.80966,5017059783.31958,5663799108.52767,6057218861.96683,6559562958.94637,6857139117.39279,7236245479.6585,7635300387.08491,8057259479.00459,8532852033.68952,9043394715.19952,9721653065.53613,10047745438.9452,10420209148.0929,10685445792.0183,10836884503.1437,10945471986.7318,11139693788.8124,11386853113.0189,11764325094.2129,12211675169.6845,12702504600.374,12967696312.7715,12539492342.004,13656576505.5665,14319794712.6268
Algeria,DZA,Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,510000000,..,230000000,874000000,468000000,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,65.7861007713,67.4704836461,69.1548665208,70.8392493956,72.5236322704,74.2080151451,75.8923980199,77.5767808946,79.2611637694,81.7105201445,85.0373724582,87.5228008238,90.0082291893,92.4936575549,94.9790859204,97.464514286,99.9499426515,102.4353710171,104.9207993826,107.4062277481,109.7509497678,115.1634538718,120.5759579757,125.9884620796,129.8719572253,137.9203602082,137.9203602082,137.9203602082,137.9203602082,..,..
